name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Commonwealth of the Northern Mariana Islands;us;us-mp;Territory;TRUE;56889;MP;
All Commonwealth Of The Northern Mariana Islands;;us-mp-all;Summary;;;MP;
