name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
Grand Isle;us-vt-st-albans;us-vt-grand-isle-town;Town;;2186;VT;
Isle La Motte;us-vt-st-albans;us-vt-isle-la-motte;Town;;551;VT;
North Hero;us-vt-st-albans;us-vt-north-hero;Town;;1157;VT;
Belvidere;us-vt-morrisville;us-vt-belvidere;Town;;402;VT;
Eden;us-vt-morrisville;us-vt-eden;Town;;1335;VT;
Elmore;us-vt-morrisville;us-vt-elmore;Town;;1075;VT;
Morristown;us-vt-morrisville;us-vt-morristown;Town;;5507;VT;
Waterville;us-vt-morrisville;us-vt-waterville;Town;;659;VT;
Braintree;us-vt-barre-hd;us-vt-braintree;Town;;940;VT;
Brookfield;us-vt-barre-hd;us-vt-brookfield;Town;;1464;VT;
Corinth;us-vt-wrj;us-vt-corinth;Town;;1567;VT;
Orange;us-vt-barre-hd;us-vt-orange-town;Town;;996;VT;
Strafford;us-vt-wrj;us-vt-strafford;Town;;1208;VT;
Thetford;us-vt-wrj;us-vt-thetford;Town;;2783;VT;
Topsham;us-vt-st-johnsbury-hd;us-vt-topsham;Town;;1005;VT;
Tunbridge;us-vt-wrj;us-vt-tunbridge;Town;;1208;VT;
Vershire;us-vt-wrj;us-vt-vershire;Town;;765;VT;
Washington;us-vt-barre-hd;us-vt-washington-town;Town;;1082;VT;
West Fairlee;us-vt-wrj;us-vt-west-fairlee;Town;;786;VT;
Brownington;us-vt-newport;us-vt-brownington;Town;;1036;VT;
Charleston;us-vt-newport;us-vt-charleston;Town;;943;VT;
Craftsbury;us-vt-morrisville;us-vt-craftsbury;Town;;1203;VT;
Derby;us-vt-newport;us-vt-derby;Town;;4566;VT;
Holland;us-vt-newport;us-vt-holland;Town;;685;VT;
Jay;us-vt-newport;us-vt-jay;Town;;518;VT;
Morgan;us-vt-newport;us-vt-morgan;Town;;872;VT;
Westfield;us-vt-newport;us-vt-westfield;Town;;627;VT;
Westmore;us-vt-newport;us-vt-westmore;Town;;437;VT;
Clarendon;us-vt-rutland-hd;us-vt-clarendon;Town;;2592;VT;
Hubbardton;us-vt-rutland-hd;us-vt-hubbardton;Town;;856;VT;
Ira;us-vt-rutland-hd;us-vt-ira;Town;;402;VT;
Killington;us-vt-rutland-hd;us-vt-killington;Town;;761;VT;
Mendon;us-vt-rutland-hd;us-vt-mendon;Town;;1080;VT;
Mount Holly;us-vt-rutland-hd;us-vt-mount-holly;Town;;1223;VT;
Mount Tabor;us-vt-rutland-hd;us-vt-mount-tabor;Town;;233;VT;
Pittsfield;us-vt-rutland-hd;us-vt-pittsfield;Town;;438;VT;
Shrewsbury;us-vt-wrj;us-vt-shrewsbury;Town;;1295;VT;
Sudbury;us-vt-rutland-hd;us-vt-sudbury;Town;;698;VT;
Tinmouth;us-vt-rutland-hd;us-vt-tinmouth;Town;;773;VT;
West Haven;us-vt-rutland-hd;us-vt-west-haven;Town;;231;VT;
Berlin;us-vt-barre-hd;us-vt-berlin;Town;;2859;VT;
Calais;us-vt-barre-hd;us-vt-calais;Town;;1867;VT;
Duxbury;us-vt-barre-hd;us-vt-duxbury;Town;;1289;VT;
